名次,昵称,总分,最后提交时间
1,Leviathan,529,2023-01-21 14:11:41
2,sudopacman,529,2023-01-21 16:24:11
3,Intel,529,2023-01-21 18:54:42
4,chainknife,219,2023-01-21 11:57:46
5,Jh_Harry,191,2023-01-21 13:52:02
6,MengXi,88,2023-01-21 09:45:04
7,tang,28,2023-01-21 10:26:55
